Data set,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
Training set,"InChI=1S/C27H24FNO/c1-16-8-5-6-9-18(16)14-23-25-19(20-10-7-11-21(28)26(20)30-23)12-13-22-24(25)17(2)15-27(3,4)29-22/h5-15,29H,1-4H3/b23-14-",8.823909,104024090,8.349,8.67,8.903,9.051,8.844,8.903,8.903,8.903,8.903
Training set,"InChI=1S/C26H23ClFNO/c1-14-11-16(5-8-20(14)27)25-24-18(19-12-17(28)6-10-22(19)30-25)7-9-21-23(24)15(2)13-26(3,4)29-21/h5-13,25,29H,1-4H3",9.39794,103960465,9.222,9.337,9.323,8.793,9.31,9.323,9.323,9.323,9.323
Training set,"InChI=1S/C26H27NO3/c1-7-9-19-23-17(10-11-18-22(23)16(3)15-26(4,5)27-18)24-20(30-19)12-13-21(25(24)28-6)29-14-8-2/h2,7,10-13,15,19,27H,1,9,14H2,3-6H3",5.742321,104016893,5.664,5.398,5.633,6.376,5.392,5.633,5.633,5.633,5.633
Training set,"InChI=1S/C20H18N2O3S/c1-14-2-4-15(5-3-14)20(23)12-19(16-10-11-26-13-16)21-17-6-8-18(9-7-17)22(24)25/h2-11,13,19,21H,12H2,1H3",6.987163,104142730,7.28,7.209,7.343,7.301,7.067,7.343,7.343,7.343,7.343
Training set,"InChI=1S/C20H18FNO/c1-11-10-20(3,4)22-16-7-6-14-15-9-13(21)5-8-17(15)23-12(2)19(14)18(11)16/h5-10,22H,2H2,1,3-4H3",8.21467,104020792,7.619,7.866,7.61,7.633,7.742,7.61,7.61,7.61,7.61
Training set,"InChI=1S/C20H21NO/c1-12-5-8-18-15(9-12)14-6-7-17-19(16(14)11-22-18)13(2)10-20(3,4)21-17/h5-10,21H,11H2,1-4H3",7.30103,103966333,7.106,7.508,7.415,7.381,7.74,7.415,7.415,7.415,7.415
Training set,"InChI=1S/C22H26N2/c1-5-6-13-24-19-10-8-7-9-16(19)17-11-12-18-20(21(17)24)15(2)14-22(3,4)23-18/h7-12,14,23H,5-6,13H2,1-4H3",7.113509,103965701,7.27,7.187,6.828,7.988,6.933,6.828,6.828,6.828,6.828
Training set,"InChI=1S/C26H21F2NO/c1-15-14-26(2,3)29-20-12-11-18-17-8-4-5-10-21(17)30-22(24(18)23(15)20)13-16-7-6-9-19(27)25(16)28/h4-14,29H,1-3H3/b22-13-",7.614394,103962114,8.643,8.556,8.602,8.571,8.659,8.602,8.602,8.602,8.602
Training set,"InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3/t14-,18+,19-,20-,22+,23-,24-/m0/s1",9.468521,103962116,9.09,9.376,9.26,8.452,9.333,9.26,9.26,9.26,9.26
Training set,"InChI=1S/C28H28FNO4/c1-15-13-28(2,3)30-20-8-7-19-25(24(15)20)23(12-16-5-6-18(29)11-17(16)14-31)34-22-10-9-21(32)27(33-4)26(19)22/h5-13,20,24,30-32H,14H2,1-4H3/b23-12-",6.013228,104089743,5.877,5.895,5.618,6.588,5.552,5.618,5.618,5.618,5.618
Training set,"InChI=1S/C19H17FN2/c1-12-10-19(2,3)22-18-5-4-14(9-17(12)18)15-6-13(11-21)7-16(20)8-15/h4-10,22H,1-3H3",8,103961146,7.86,7.861,7.764,7.533,7.659,7.764,7.764,7.764,7.764
Training set,"InChI=1S/C26H21F2NO/c1-15-14-26(2,3)29-21-9-8-20-19-6-4-5-7-22(19)30-23(25(20)24(15)21)12-16-10-17(27)13-18(28)11-16/h4-14,29H,1-3H3/b23-12-",7.899629,103962126,8.58,7.842,8.401,8.369,8.403,8.401,8.401,8.401,8.401
Training set,"InChI=1S/C25H22ClNO/c1-15-14-25(2,3)27-20-13-12-19-18-6-4-5-7-21(18)28-24(23(19)22(15)20)16-8-10-17(26)11-9-16/h4-14,24,27H,1-3H3",9.154902,103957940,8.744,9.227,9.043,8.596,9.185,9.043,9.043,9.043,9.043
Training set,"InChI=1S/C20H14N3O3/c24-20-21-18-10-9-16(15-7-4-8-17(11-15)23(25)26)12-19(18)22(20)13-14-5-2-1-3-6-14/h1-12H,13H2/q-1/p+1",6.146302,104001279,6.59,6.23,6.381,6.711,,6.381,6.381,6.381,6.381
Training set,"InChI=1S/C25H23NO/c1-16-15-25(2,3)26-20-14-13-19-18-11-7-8-12-21(18)27-24(23(19)22(16)20)17-9-5-4-6-10-17/h4-15,24,26H,1-3H3",8.443698,103957933,8.369,8.601,8.405,8.058,8.505,8.405,8.405,8.405,8.405
Training set,"InChI=1S/C26H27FN2O3S/c1-16(2)18-13-21-25(20-11-10-19(27)15-24(20)32-3)22(12-17-8-6-5-7-9-17)28-26(21)23(14-18)29-33(4,30)31/h5-11,13-16,28-29H,12H2,1-4H3",5.39794,104005460,7.051,6.41,6.552,7.531,6.44,6.552,6.552,6.552,6.552
Training set,"InChI=1S/C19H19NO/c1-12-10-19(2,3)20-16-9-8-13-14-6-4-5-7-17(14)21-11-15(13)18(12)16/h4-10,20H,11H2,1-3H3",7.075721,103966312,7.087,6.931,7.104,7.3,7.12,7.104,7.104,7.104,7.104
Training set,"InChI=1S/C26H21F4NO/c1-14-13-25(2,3)31-20-9-8-18-19-12-17(27)7-10-21(19)32-24(23(18)22(14)20)15-5-4-6-16(11-15)26(28,29)30/h4-13,24,31H,1-3H3",9.107905,103957959,8.392,8.125,8.175,8.214,8.386,8.175,8.175,8.175,8.175
Training set,"InChI=1S/C26H29ClN2O/c1-15(2)10-12-26(6)20-21(27)19(18-9-7-8-17-11-13-28-23(17)18)14-16(3)22(20)29-25(4,5)24(26)30/h7-11,13-14,28-29H,12H2,1-6H3",6.376751,125084154,7.218,6.901,7.612,7.035,7.614,7.612,7.612,7.612,7.612
Training set,"InChI=1S/C22H26N2O3/c1-16-7-9-18(10-8-16)22(25)15-21(17-5-3-2-4-6-17)23-19-11-13-20(14-12-19)24(26)27/h7-14,17,21,23H,2-6,15H2,1H3",7.886057,104142724,7.706,7.881,7.677,7.688,7.523,7.677,7.677,7.677,7.677
Training set,"InChI=1S/C20H21N3O2S/c1-13-11-15(9-10-16(13)24)17(14-7-5-4-6-8-14)20(2,3)18(25)22-19-23-21-12-26-19/h4-12,17,24H,1-3H3,(H,22,23,25)/t17-/m0/s1",6.853872,136355099,7.224,6.781,6.926,6.571,6.937,6.926,6.926,6.926,6.926
Training set,"InChI=1S/C20H21N3O2S/c1-4-14(2)23-13-19(16-7-5-15(12-21)6-8-16)18-10-9-17(11-20(18)23)22-26(3,24)25/h5-11,13-14,22H,4H2,1-3H3/t14-/m0/s1",9.49485,125087032,8.707,9.202,8.874,8.864,9.051,8.874,8.874,8.874,8.874
Training set,"InChI=1S/C28H27FN2O/c1-17-16-28(2,3)30-22-12-11-20-21-15-19(29)10-13-24(21)32-25(27(20)26(17)22)14-18-8-6-7-9-23(18)31(4)5/h6-16,30H,1-5H3/b25-14-",8.920819,104024108,8.272,8.513,8.228,8.164,8.146,8.228,8.228,8.228,8.228
Training set,"InChI=1S/C26H27F2NO/c1-14-6-5-7-16(10-14)24-23-18(19-11-17(27)12-20(28)25(19)30-24)8-9-21-22(23)15(2)13-26(3,4)29-21/h8-13,16,24,29H,5-7H2,1-4H3/t16-,24+/m1/s1",7.853872,104099678,8.33,7.965,8.369,7.906,8.21,8.369,8.369,8.369,8.369
Training set,"InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3/t14-,18+,19-,20-,22+,23-,24-/m0/s1",9.468521,103962116,9.059,9.284,9.212,8.434,9.267,9.212,9.212,9.212,9.212
Training set,"InChI=1S/C26H22FNO/c1-16-15-26(2,3)28-21-12-11-20-19-9-4-5-10-22(19)29-23(25(20)24(16)21)14-17-7-6-8-18(27)13-17/h4-15,28H,1-3H3/b23-14-",9.080922,103962108,8.626,8.763,8.546,8.641,8.589,8.546,8.546,8.546,8.546
Training set,"InChI=1S/C19H19N/c1-12-11-19(2,3)20-18-9-14-8-13-6-4-5-7-15(13)17(14)10-16(12)18/h4-7,9-11,20H,8H2,1-3H3",7.853872,103965695,7.813,7.38,7.365,7.314,7.511,7.365,7.365,7.365,7.365
Training set,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",8.455932,172097179,8.494,8.466,8.467,8.734,8.473,8.467,8.467,8.467,8.467
Training set,"InChI=1S/C25H21ClFNO/c1-14-13-25(2,3)28-20-11-10-19-18-9-8-17(27)12-21(18)29-24(23(19)22(14)20)15-4-6-16(26)7-5-15/h4-13,24,28H,1-3H3",8.568636,103957954,9.389,9.394,9.234,9.002,9.465,9.234,9.234,9.234,9.234
Training set,"InChI=1S/C36H35FN4O6/c1-36(2,34(43)40-35(44)38-21-22-7-13-25(45-3)14-8-22)30-26-5-4-6-28(37)31(26)47-32-27(30)15-16-29(39-32)23-9-11-24(12-10-23)33(42)41-17-19-46-20-18-41/h4-16,30H,17-21H2,1-3H3,(H2,38,40,43,44)/t30-/m0/s1",6.205512,313068923,6.018,6.043,5.656,6.432,6.672,5.656,5.656,5.656,5.656
Training set,"InChI=1S/C17H23BrO2/c1-11-6-5-7-17(2,3)13(11)8-12-9-16(20-4)14(18)10-15(12)19/h9-10,13,19H,1,5-8H2,2-4H3",7.113509,103979805,7.333,7.139,7.256,7.123,7.199,7.256,7.256,7.256,7.256
Training set,"InChI=1S/C27H25NO2/c1-17-16-27(2,3)28-22-13-12-21-20-10-5-6-11-23(20)30-24(26(21)25(17)22)15-18-8-7-9-19(14-18)29-4/h5-16,28H,1-4H3/b24-15-",7.273273,103962111,7.647,7.178,7.613,8.553,7.038,7.613,7.613,7.613,7.613
Training set,"InChI=1S/C24H29NO2/c1-6-7-9-20-23-16(22-18(26-5)10-8-11-19(22)27-20)12-13-17-21(23)15(2)14-24(3,4)25-17/h8,10-14,20,25H,6-7,9H2,1-5H3",5.769551,104002705,7.087,7.146,7.136,8.139,7.307,7.136,7.136,7.136,7.136
Test set,"InChI=1S/C25H22FNO/c1-15-14-25(2,3)27-20-13-12-19-18-6-4-5-7-21(18)28-24(23(19)22(15)20)16-8-10-17(26)11-9-16/h4-14,24,27H,1-3H3",8.275724,103957926,8.94,9.112,9.185,8.655,9.327,9.185,9.185,9.185,9.185
Test set,"InChI=1S/C25H21BrClNO/c1-14-13-25(2,3)28-20-10-9-18-19-12-17(27)8-11-21(19)29-24(23(18)22(14)20)15-4-6-16(26)7-5-15/h4-13,24,28H,1-3H3",9.229148,103957968,8.642,,8.662,8.954,8.769,8.662,8.662,8.662,8.662
Test set,"InChI=1S/C22H19FN2O3/c1-15-5-7-16(8-6-15)22(26)14-21(17-3-2-4-18(23)13-17)24-19-9-11-20(12-10-19)25(27)28/h2-13,21,24H,14H2,1H3/t21-/m0/s1",7.075721,104142750,7.031,7.067,7.039,7.056,7.035,7.039,7.039,7.039,7.039
Test set,"InChI=1S/C21H26N2O2/c1-11-17(12(2)25-23-11)15-10-16-18(14-9-7-8-13(14)15)22-21(5,6)19(24)20(16,3)4/h10,22H,7-9H2,1-6H3",5.830032,318472954,8.914,8.06,8.352,7.593,8.297,8.352,8.352,8.352,8.352
