ID,Dataset,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
63,Training,"InChI=1S/C19H15ClN8O2/c1-2-27-10-13-15(25-27)23-18(24-19(29)21-12-6-3-5-11(20)9-12)28-17(13)22-16(26-28)14-7-4-8-30-14/h3-10H,2H2,1H3,(H2,21,23,24,25,29)",6.040 ,103982212,6.040 ,6.188 ,6.173 ,6.240 ,6.192 ,6.150 ,6.150 ,6.150 ,6.150 
64,Training,"InChI=1S/C21H19N9O4/c1-2-3-10-28-12-15-17(26-28)24-20(29-19(15)23-18(27-29)16-5-4-11-34-16)25-21(31)22-13-6-8-14(9-7-13)30(32)33/h4-9,11-12H,2-3,10H2,1H3,(H2,22,24,25,26,31)",6.260 ,104004417,6.260 ,6.262 ,6.273 ,6.222 ,6.244 ,6.204 ,6.204 ,6.204 ,6.204 
65,Training,"InChI=1S/C26H21ClN8O2/c27-18-10-4-11-19(15-18)28-26(36)31-25-30-22-20(24-29-23(33-35(24)25)21-12-6-14-37-21)16-34(32-22)13-5-9-17-7-2-1-3-8-17/h1-4,6-8,10-12,14-16H,5,9,13H2,(H2,28,30,31,32,36)",4.220 ,103982207,4.220 ,4.048 ,4.064 ,4.715 ,4.057 ,4.147 ,4.147 ,4.147 ,4.147 
66,Training,"InChI=1S/C20H12Cl2N6O2/c21-11-3-1-4-13(9-11)23-20(29)26-19-24-15-7-6-12(22)10-14(15)18-25-17(27-28(18)19)16-5-2-8-30-16/h1-10H,(H2,23,24,26,29)",6.721 ,103992568,6.721 ,6.710 ,6.710 ,6.434 ,6.704 ,6.713 ,6.713 ,6.713 ,6.713 
67,Training,"InChI=1S/C20H17ClN8O2/c1-2-9-28-11-14-16(26-28)24-19(25-20(30)22-13-7-5-12(21)6-8-13)29-18(14)23-17(27-29)15-4-3-10-31-15/h3-8,10-11H,2,9H2,1H3,(H2,22,24,25,26,30)",6.470 ,104004408,6.470 ,6.554 ,6.493 ,6.262 ,6.505 ,6.342 ,6.342 ,6.342 ,6.342 
68,Training,"InChI=1S/C21H19FN8O2/c1-2-3-10-29-12-15-17(27-29)25-20(26-21(31)23-14-8-6-13(22)7-9-14)30-19(15)24-18(28-30)16-5-4-11-32-16/h4-9,11-12H,2-3,10H2,1H3,(H2,23,25,26,27,31)",6.100 ,104004414,6.100 ,6.193 ,6.287 ,6.113 ,6.272 ,6.257 ,6.257 ,6.257 ,6.257 
69,Training,"InChI=1S/C20H15F3N8O2/c1-2-30-10-13-15(28-30)26-18(31-17(13)25-16(29-31)14-4-3-9-33-14)27-19(32)24-12-7-5-11(6-8-12)20(21,22)23/h3-10H,2H2,1H3,(H2,24,26,27,28,32)",6.010 ,104004394,6.010 ,6.158 ,6.169 ,6.289 ,6.179 ,6.156 ,6.156 ,6.156 ,6.156 
70,Training,"InChI=1S/C20H18N8O2/c1-3-27-11-14-16(25-27)23-19(24-20(29)21-13-8-6-12(2)7-9-13)28-18(14)22-17(26-28)15-5-4-10-30-15/h4-11H,3H2,1-2H3,(H2,21,23,24,25,29)",6.850 ,104004395,6.850 ,6.849 ,6.759 ,6.532 ,6.778 ,6.657 ,6.657 ,6.657 ,6.657 
71,Training,"InChI=1S/C19H15ClN8O2/c1-2-27-10-11-15(25-27)23-18(24-19(29)21-13-7-4-3-6-12(13)20)28-17(11)22-16(26-28)14-8-5-9-30-14/h3-10H,2H2,1H3,(H2,21,23,24,25,29)",6.520 ,104004430,6.520 ,6.219 ,6.221 ,6.359 ,6.235 ,6.245 ,6.245 ,6.245 ,6.245 
72,Training,"InChI=1S/C23H24N8O2/c1-14(2)10-11-30-13-17-19(28-30)26-22(27-23(32)24-16-8-6-15(3)7-9-16)31-21(17)25-20(29-31)18-5-4-12-33-18/h4-9,12-14H,10-11H2,1-3H3,(H2,24,26,27,28,32)",5.130 ,104045439,5.130 ,5.074 ,5.250 ,5.447 ,5.224 ,5.171 ,5.171 ,5.171 ,5.171 
